County,Sludge (MGD),Food (tons),Food (dry tons),Fog (tons),Fog (dry tons),Green (dry tons),Manure (lbs)
Atlantic,28.6747,4167.79,1041.9475,1927.1399999999999,1567.325,118397,16159645.0
Bergen,91.07899999999998,18757.25,4689.3125,15687.58,12700.442000000001,93737,32430067.5
Burlington,38.341200000000015,12812.79,3203.1975,6403.09,5123.8279999999995,214810,165492825.0
Camden,54.125,1899.37,474.8425,3791.0899999999997,3034.94,73270,15279265.0
Cape May,18.4509,1030.38,257.595,52253.1,46545.255,90167,16385945.0
Cumberland,12.1749,22444.44,5611.11,11668.07,9710.142,128487,68301720.0
Essex,250.4139,131689.69,32922.4225,6282.93,5084.966,40659,666490.0
Gloucester,18.1206,30811.35,7702.8375,10138.599999999999,8495.471,81807,139357000.0
Hudson,29.1266,1739.35,434.8375,27498.21,21998.568,4129,0.0
Hunterdon,6.827300000000001,113.99,28.4975,1705.15,1364.1200000000001,134938,272100017.5
Mercer,43.6912,5214.92,1303.73,75836.97,65937.659,119709,34652187.5
Middlesex,124.1513,6134.95,1533.7375,14725.11,11780.088000000002,73388,21555987.5
Monmouth,49.95679999999999,2548.04,637.01,16694.960000000003,13356.801000000001,125283,196875160.0
Morris,50.85379999999999,3658.87,914.7175,4436.58,3597.2050000000004,113251,56506197.5
Ocean,50.491800000000005,3242.79,810.6975,8075.05,6460.118000000001,158073,46780590.0
Passaic,10.2265,12282.58,3070.645,4137.09,3330.346,57969,10486632.5
Salem,3.6643,18.57,4.6425,930.51,763.8040000000001,118525,295397237.5
Somerset,25.480000000000008,862.04,215.51,5879.24,4704.5380000000005,50999,100657875.0
Sussex,3.1844999999999994,905.14,226.285,874.9499999999999,704.763,151081,310151997.5
Union,104.56629999999998,4957.16,1239.29,9689.86,8410.978,36023,40515.0
Warren,3.9431,2218.36,554.59,8810.12,7841.173000000001,139757,397862592.5
New Jersey,1017.5436999999998,267509.82000000007,66877.45500000002,287445.3999999999,242512.53,2124461,2197139947.5
