County,Incineration,Class A Beneficial Use,Class B Beneficial Use,Out-Of-State Beneficial Use,Out-Of-State State Disposal,In-State Beneficial Use Landfill Cover,Other DTW,County Total (Dry Metric Tonnes/Year)
Atlantic,8368.0,316.4,0.0,0.0,0.0,0.0,307.3,8991.7
Bergen,4096.5,0.0,0.0,0.0,0.0,0.0,14949.8,19046.3
Burlington,0.0,7637.8,353.1,0.0,328.3,0.0,922.4,9241.6
Camden,0.0,84.0,0.0,5726.0,0.0,28.0,567.0,6405.0
Cape May,0.0,331.9,0.0,0.0,0.1,0.0,2840.7,3172.7
Cumberland,0.0,65.0,886.1,0.0,629.6,0.0,737.6,2318.3
Essex,0.0,0.0,0.0,21988.0,0.0,15878.5,1800.8,39667.3
Gloucester,0.0,83.8,0.0,460.2,978.8,2204.6,0.0,3727.4
Hudson,0.0,0.0,0.0,0.0,0.0,0.0,4610.5,4610.5
Hunterdon,0.0,0.0,0.0,0.0,56.8,0.0,1596.2,1653.0
Mercer,6129.0,0.0,0.0,1073.3,179.2,0.0,2460.7,9842.2
Middlesex,0.0,2093.5,0.0,5904.6,0.0,20907.9,380.4,29286.4
Monmouth,3488.8,266.0,0.0,0.0,11.6,0.0,6976.6,10743.0
Morris,0.0,0.0,0.0,0.0,3156.3,0.0,9101.3,12257.6
Ocean,0.0,8138.4,0.0,0.0,860.2,0.0,33.3,9031.8
Passaic,0.0,0.0,0.0,0.0,0.0,0.0,2410.2,2410.2
Salem,0.0,0.0,247.9,0.0,276.4,0.0,168.5,692.8
Somerset,2910.1,0.0,0.0,0.0,318.9,0.0,1447.7,4676.7
Sussex,0.0,0.0,0.0,0.0,0.0,0.0,1285.9,1285.9
Union,0.0,599.4,0.0,3830.6,2637.2,0.0,1095.7,8162.9
Warren,0.0,0.0,0.0,0.0,0.0,0.0,1098.7,1098.7
New Jersey,24992.399999999998,19616.199999999997,1487.1000000000001,38982.7,9433.4,39019.0,54791.29999999999,188322.0
