County,Lignocellulose (dry tons),Kilogram,Kilogram/hr,Annual Ethanol ($ gal/yr),Price ($/kg),GWP (kg CO2e/gal)
Atlantic,118397,107407982.445,12772.067927725455,67.946,5.73,2.31
Bergen,93737,85036800.345,10111.872187143264,54.235,6.04,2.34
Burlington,214810,194872409.85,23172.61342394406,122.997,5.05,2.27
Camden,73270,66469444.949999996,7903.996022402967,42.178,6.51,2.36
Cape May,90167,81798149.895,9726.758691852168,51.573,6.17,2.31
Cumberland,128487,116561479.095,13860.525957833903,73.126,5.66,2.3
Essex,40659,36885234.915,4386.086724101027,23.556,7.92,2.44
Gloucester,81807,74214083.295,8824.924288313356,46.436,6.39,2.34
Hudson,4129,3745766.8649999998,445.415580408105,2.652,26.59,3.83
Hunterdon,134938,122413729.52999999,14556.4271225742,77.391,5.56,2.29
Mercer,119709,108598209.16499999,12913.59983411815,68.924,5.7,2.33
Middlesex,73388,66576492.779999994,7916.725263984017,42.947,6.4,2.35
Monmouth,125283,113654858.35499999,13514.894686429792,71.117,5.71,2.3
Morris,113251,102739608.43499999,12216.943544877282,65.168,5.78,2.33
Ocean,158073,143401454.505,17052.113596960615,89.932,5.41,2.28
Passaic,57969,52588607.26499999,6253.401739083903,33.441,6.99,2.39
Salem,118525,107524102.125,12785.875918593036,68.019,5.73,2.3
Somerset,50999,46265527.815,5501.513486372716,29.461,7.3,2.41
Sussex,151081,137058416.98499998,16297.852095819062,86.608,5.42,2.29
Union,36023,32679525.255,3885.9785548658674,20.908,8.29,2.47
Warren,139757,126785454.04499999,15076.276403752852,80.142,5.51,2.29
New Jersey,2124461,1927279152.2849998,229176.0788010131,1213.369,3.89,2.23
